-2:42 | (New member) BasedBug: Hiroyuki... I kneel..
-2:33 | Sheep: ready for part 2
-2:20 | (New member) Rye Mountain: Hello again dads
-2:09 | (New member) skrong: ikz
-2:00 | (New member) LoneRanger25: :_sprdo:
-1:58 | (New member) Matthew: Hello, dads
-1:51 | (New member) 77Yuja_: hiroyuki sumimasen
-1:51 | (New member) フェットチーネ: :_kita:
-1:50 | (New member) anonEDM: Round 2 let's goooooooo
-1:48 | (New member) Zhnigo: GIROYUGI :_sprdo:
-1:40 | ChefHART: my meds
-1:37 | ChefHART: they're coming back
-1:32 | (New member) Tachi: :_kita:
-1:27 | (New member) Mister Eko: EURO DADS THIS IS NOT OVER YET
-1:26 | (New member) The Pope: Iguzoooo :_sprdo:
-1:25 | (New member) BasedBug: I threw my meds away, I think she's re-appearing
-1:11 | (New member) CommanderMichael: hiro = jinx?
-0:59 | (New member) Rye Mountain: The meds are wearing off
-0:43 | (New member) Theblekedet: Hiro is just like tomato
-0:38 | Question Box: URRA
-0:17 | (New member) max r: making tea while we wait
-0:13 | (New member) Steven Frati: Beatani overstimulating herself with hiro conversation so badly she has to go do hand reps mid stream!
-0:12 | stuffed idiot: flush the meds bros and she won't disappear ever again
-0:01 | (New member) Matthew: Reminder to take your meds 💊:_sprdo:
0:13 | Question Box: no
0:18 | Question Box: fuck meds
0:21 | (New member) Zhnigo: OHADAYO
0:26 | (New member) Tachi: :_kita:
0:27 | VerticalCloud: :o
0:32 | (New member) anonEDM: :_kita:
0:36 | (New member) Rye Mountain: Looks good so far
0:40 | (New member) BasedBug: Hiroyuki is Based and Tomatoes are Fruit
0:41 | (New member) Stray Wolf: Ohadayo
0:42 | (New member) Matthew: :_kita:
0:50 | (New member) Theblekedet: :_kita:
0:55 | (New member) skrong: おはだよ
0:59 | VerticalCloud: おかえり~
1:03 | (New member) Tianfang's Adventures: yay
1:04 | (New member) Mastigos Wilkins: welcome back, I have been expecting you
1:08 | (New member) The Pope: :_oha::_dayo:
1:13 | (New member) anonEDM: :_sprdo: obaerinasai :DDDDDD
1:27 | (New member) CantDood: I'm thinking the hiro hates vtubers thing is a facade to hide his career as one
1:55 | (New member) BasedBug: Welcome back
1:56 | (New member) Zhnigo: :_oha::_dayo:
1:57 | (New member) Rye Mountain: :_oha::_dayo:
1:57 | (New member) gyroninja: :_oha::_dayo:
1:59 | (New member) Mister Eko: WE ARE BACK
2:00 | Andrew Ryan: no sound?
2:02 | (New member) BasedBug: Muted?
2:04 | (New member) LoneRanger25: :_oha::_dayo:
2:07 | stuffed idiot: muted bear...
2:07 | (New member) anonEDM: :_oha::_dayo:
2:08 | (New member) CantDood: :_oha::_dayo:
2:08 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: We back!! Also whoever said Firefox is chromium is wrong, Edge is though.
2:09 | (New member) Margrave: Welcome back
2:09 | (New member) The Pope: おかえり
2:11 | (New member) LoneRanger25: Mute :_bea: 
2:13 | Sheep: 🍀
2:13 | (New member) Stray Wolf: muted
2:13 | (New member) Matthew: :_oha::_dayo:
2:13 | ChefHART: muted..
2:16 | (New member) BasedBug: Computer genius bear!
2:16 | (New member) The Flesh Is Weak: Ohadayo
2:17 | (New member) CommanderMichael: ohadayo~
2:19 | (New member) Zyadarya: :_oha::_dayo:
2:19 | (New member) Sol Codguy: :_oha::_dayo:
2:19 | (New member) Zhnigo: bea your mic reps...
2:19 | (New member) Theblekedet: once more, with feeling!
2:19 | (New member) Stray Wolf: welcome back 
2:27 | (New member) フェットチーネ: :_oha::_dayo:
2:30 | (New member) Stray Wolf: Muted
2:32 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Mute Beatani
2:33 | (New member) Mister Eko: Mute Delinquent Gyaru OL Bear
2:33 | (New member) CantDood: 10/10
2:35 | (New member) Matthew: 🔇
2:37 | (New member) BasedBug: My meds.. I can't hear her
2:40 | (New member) max r: muted kuma is cute
2:44 | (New member) Tianfang's Adventures: Welcome baccck
2:47 | Question Box: your mute
2:50 | stuffed idiot: took your meds is what happened
2:52 | (New member) The Flesh Is Weak: Hiroyuki HATE
2:52 | (New member) imalittle cupcake: Gyaru bear...
2:54 | (New member) Moon Runes: Hey Bea
2:54 | Sheep: hiroyuki got mad
2:59 | (New member) Moon Runes: 👋
3:03 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Chrome Virus
3:06 | (New member) Matthew: PC needs meds
3:09 | (New member) Rye Mountain: Typical windows, restart and problem is always solved 
3:09 | (New member) BasedBug: Don't say his name!
3:11 | ConeMan: oh hey she back
3:15 | (New member) hohoemikuma: :_oha: 
3:23 | (New member) CantDood: Ok!
3:26 | (New member) Stray Wolf: Hiroyuki shut down the stream
3:34 | (New member) ThatVidyaGuy: she's back!
3:56 | Ontack: おかえりー！
3:57 | (New member) BasedBug: OH BOY
3:58 | (New member) Zhnigo: uh oh
3:58 | (New member) LoneRanger25: :_kita:
4:00 | (New member) The Pope: FAQing question AWAY
4:02 | stuffed idiot: UOH?
4:04 | (New member) LoneRanger25: Dads, take notes!
4:04 | (New member) Tachi: :_kita:
4:06 | (New member) The Flesh Is Weak: oniichan:_sprdo:
