-1:44:03 | Rye Mountain: For everyone just now joining: She posted this stream 2 hours early. The stream is actually supposed to start att 9am JST, 1am CET, 8pm EST, 5pm PST
-1:32:29 | White Wyvern: vegiebros...
-1:28:28 | I like the spikeman: q.q
-1:22:41 | max r: sorry vege bro
-1:22:33 | max r: hang in there
-1:13:58 | Nero: oh thank god I'm not late
-1:13:47 | Nero: I'll see you all in an hour I guess
-51:05 | (Owner) Beatani Ch. 熊谷ちさと: I realized that I had set the time wrong!　Sorry dad. ISorry dad. I fixed it.
-49:24 | Leo Kicklighter: is ok
-48:10 | Jackku Chan: Where's Beatani... Oh no..
-46:55 | Zhnigo: wel[
-46:52 | Zhnigo: welp
-45:04 | Stray Wolf: no worries
-39:05 | Suukotto Funsha: It's fine, don't worry about it
-33:05 | Monkberry Moon: It's all good
-16:59 | Tachi: 🐻待機
-13:23 | Fettuccine フェットチーネ: 待機🐻‍❄🍀
-12:19 | max r: 🐻‍❄
-10:18 | hohoemikuma: 🐻‍❄
-8:42 | 77Yuja_: 🐻‍❄
-8:19 | BasedBug: 🐻‍❄
-8:06 | HashSlash: 🐻‍❄🍀
-7:12 | XeniVari: 待機🐻‍❄🍀
-5:22 | Megiddo: Alright Youtube, let's actually work for once for Beatani
-3:36 | ThatVidyaGuy: 🐻‍❄🍀
-3:35 | max r: i don't know if yesterday was bad luck, when she went live on youtube yesterday she also went live on twitch, and the same exact frame drops were on both platforms
-3:16 | Raziel: 🐻‍❄🍀
-3:13 | Verijero: 🐻‍❄🍀
-2:56 | BasedBug: I'm hoping youtube works simply to help get her more subscribers, we need that 2k karaoke
-2:48 | max r: 🐻‍❄🍀
-2:38 | HashSlash: By the way, did she say shed upload the VOD here? I'm really sad I missed it yesterday
-2:36 | max r: yes, i personally need the 2k karaoke
-2:35 | Monkberry Moon: My dear bear is pulling numbers
-2:09 | Megiddo: The VOD for yesterday likely needs to be edited quite a bit since there were some drops/lag issues
-2:03 | BasedBug: I don't know if she mentioned the VOD, I hope she reuploads it because watching her draw is really something
-2:03 | TWAIN: 🐻‍❄🍀
-1:59 | max r: she said she will try to upload vods in general, but she did not specifically mention it
-1:49 | Megiddo: Probably wouldn't hurt to ask her on Twitter about it though
-1:38 | Raziel: Yeah a really comfy stream yesterday
-1:23 | max r: i can't sketch at all... so , it was fun for me
-1:18 | TWAIN: yfw da bears win da touhoub owl
-1:11 | Megiddo: yeah, loved watching her drawing process
-0:49 | Raziel: And the tomato controversy
-0:42 | Stray Wolf: yesterday stream was fun 
-0:34 | max r: sorry vege bro
-0:29 | hohoemikuma: hey dads 
-0:28 | HashSlash: Understandable, thanks guys, crashed out from exhaustion literally right before it started and have wanted to see her draw since this all began
-0:24 | Stray Wolf: despise the attacks from the tomato secret society 
-0:19 | max r: actually , it turns out tomato is my state vegetable....
