-9:12 | *RSD 5,463* XeniVari: MY DAUGHTER JUST DIED, LET'S GOOOOOOOOOOOO!
-4:57 | Voltage: eat breakfast bear!
-4:55 | (New member) Koruru: :_oha::_dayo:
-4:55 | klevly: GOOD MORNING SLEEPYHEAD
-4:55 | (New member) Shippo: :_oha::_dayo:
-4:51 | (New member) Einaer: :_oha::_dayo:
-4:48 | (New member) gyroninja: :_oha::_dayo:
-4:47 | (New member) Zyadarya: :_oha::_dayo:
-4:46 | Voltage: how is breakfast on so hill
-4:42 | (New member) Tianfang's Adventures: Ohadayo!
-4:37 | (New member) ThatVidyaGuy: Here comes the part where she goes back to sleep.
-4:33 | (New member) Raziel: :_oha::_dayo:
-4:25 | (New member) BasedBug: @ThatVidyaGuy Hahahahaha
-4:23 | (New member) LassesAffar: breakfast asmr stream
-4:14 | (New member) max r: :_kita:
-4:04 | (New member) Megiddo: Ohadayo~
-3:59 | (New member) TWAIN: :_kita:
-3:48 | (New member) Ludd: おはだよおおおおお
-3:33 | (New member) Suukotto Funsha: :_oha::_dayo:
-3:30 | (New member) The Pope: :_oha::_dayo:
-3:23 | (New member) BasedBug: IDS HABBENING
-3:22 | stuffed idiot: oh she actually woke up
-3:22 | (New member) Steven Frati: :_kita:
-3:16 | stuffed idiot: おはだよ
-3:08 | Voltage: BREAKFAST STREAM EATING STREAM LETSS GO
-2:53 | (New member) TWAIN: breakfast speedrun
-2:47 | (New member) The Pope: おはだuooooh
-2:44 | Lodowa Wrozka: LETS GOOOOO
-2:26 | (New member) hohoemikuma: :_oha: :_dayo: drink water, wash face, etc etc daughter 
-2:23 | SpaceTalon: lets GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
-1:56 | Ark K.: LET'S GOOOOOOOOOOOOOOOOOOOO
-1:56 | (New member) Mister Eko: Ok, I'll say it: sleepy bear is cute
-1:48 | (New member) Tachi: :_sprdo:
-1:44 | Mizuki Arisu: beatani streaming with bed hair...
-1:41 | (New member) Tianfang's Adventures: yes.
-1:38 | (New member) The Pope: IGUZOOOO:_sprdo:
-1:38 | (New member) Raziel: Buttery toast crumbs all over the keyboard
-1:29 | (New member) Rye Mountain: Pyjamas stream
-1:26 | (New member) BasedBug: ああああ
-1:11 | (New member) Moeniki: :_oha::_dayo:
-1:06 | (New member) TWAIN: うおおおおおお
-1:00 | (New member) AlexMoron: Our patience pays off
-0:59 | cycochaos2: punishment game stream?
-0:53 | (New member) max r: GUMA
-0:52 | (New member) BasedBug: I hope everyone realizes the dangers of meds before bed now
-0:48 | (New member) hohoemikuma: batsu time
-0:42 | Lodowa Wrozka: yes, we can hear you
-0:40 | (New member) Raziel: I have no mouth but I must あああああ
-0:26 | Ark K.: beatani you forgot your meds didn't you,
-0:06 | (New member) Raziel: @Lodowa Wrozka that's the Discord audio
0:06 | Radio Calico: bear cute and funny
0:11 | (New member) anonEDM: :_kita:
0:14 | (New member) gyroninja: ikz
0:16 | (New member) LassesAffar: ああああああああ
0:18 | (New member) BasedBug: LET SGOOOOOOO
0:18 | Arcus crundelic: uooooooooohhh
0:19 | Luginov: a
0:19 | (New member) Rye Mountain: Its starting!
0:21 | (New member) TWAIN: loading bear
0:22 | (New member) Ekusupuroshon: BEA BEA
0:22 | stuffed idiot: IKZ
0:23 | Otael: kitaaa
0:23 | (New member) Tachi: :_kita:
0:24 | Theodore Kaczynski: Bear is lazy
0:24 | (New member) The Pope: IKZ IKZ IKZ
0:25 | (New member) Megiddo: :_kita:
0:25 | (New member) AlexMoron: :_kita:
0:26 | (New member) Raziel: uooooooooooh
0:27 | (New member) BasedBug: あああああ
0:27 | (New member) max r: lets uoohhhh
0:27 | (New member) imalittle cupcake: MY DAUGHTER IS ALIVE LET'S GOOOOO
0:28 | (New member) Ekusupuroshon: :_bea::_bea:
0:28 | (New member) The Flesh Is Weak: IKZ :_sprdo::_sprdo::_sprdo:
0:30 | (New member) billy joe【liar】: :_yah:
0:30 | (New member) Ekusupuroshon: :_bea::_bea:
0:31 | (New member) anonEDM: :_kita: :_kita: :_kita: :_kita: :_kita: :_kita: :_kita: 
0:31 | (New member) MBmasher: lets gooo
0:33 | (New member) ThatVidyaGuy: MY DAUGHTER IS ALIVE! LETS GOOOOOOOOOOOOOOOOOOOO
0:34 | Radio Calico: >join, stream starts
0:37 | Radio Calico: you're welcome
0:38 | (New member) Raziel: uoooooああああああああh
0:38 | (New member) Zyadarya: :_kita:
0:41 | (New member) Ekusupuroshon: :_kita::_kita::_kita::_kita::_kita::_kita::_kita::_kita::_kita::_kita:
0:42 | (New member) Sol Codguy: LETS GあOOOOOOOOO
0:42 | (New member) Koruru: :_kita:
0:43 | (New member) CantDood: about time you lazy:_bea:r
0:44 | (New member) RBZE7: >40 minutes
0:46 | Sheep: first overslept....they grow so fast!!
0:47 | Shaddox: PogU
0:49 | (New member) Jackku Chan: Peace is disturbed!
0:53 | bob saggit: LETS GOOOOOOOOOOOOOOOOOOOOOOOOOO
0:55 | (New member) BasedBug: LAZY KUMあ
0:56 | (New member) hohoemikuma: :_kita: 
0:57 | (New member) The Pope: :_kita::_kita::_kita:
1:01 | (New member) Rye Mountain: Oversleeping is an important milestone
1:03 | (New member) Fake Name: :_oha: ぁぁぁぁぁあぁああぁあああああああああ
1:05 | (New member) skrong: kono lazygaki...
1:08 | Ark K.: as a punishment, you have to ride a rollercoaster
1:08 | (New member) Raziel: This intro is such a jam though
