-1:39:08 | (Owner) Beatani Ch. 熊谷ちさと: aaa
-1:34:27 | (New member) XeniVari: aaaaa
-1:31:17 | (New member) TWAIN: eeee
-49:58 | (New member) Einaer: :_sprdo::_sprdo:
-47:03 | (New member) Ekusupuroshon: Beatani love!:_kita:
-38:26 | (New member) Xayn: だいぎ:_sprdo:
-34:54 | (New member) Tachi: :_sprdo:
-26:39 | (New member) Mr Crimson: :_sprdo:
-21:07 | (New member) Peer: :_sprdo:
-17:09 | (New member) Theblekedet: :_sprdo:
-16:14 | (New member) RussianAnimeBot: :_sprdo:
-8:19 | (New member) gyroninja: 待機
-5:43 | (New member) Rye Mountain: :_sprdo:
-5:23 | (New member) Luginov: :_sprdo:
-3:51 | (New member) TWAIN: :_sprdo:
-3:46 | (New member) Hanabi: pray the grey away :_yah:
-3:16 | (New member) Rye Mountain: gray LOVE
-3:04 | (New member) TWAIN: GREYCHAMA LOVE
-2:30 | (New member) Mister Eko: I MISSED YOU DADS
-2:21 | (New member) XenMaster220: soon...:_sprdo:
-2:19 | (New member) Mister Eko: bea is also cool I guess
-1:38 | (New member) BRAD AEON 720: Finally a stream that is at a good time for me
-1:29 | (New member) Zia: She's alright
-1:11 | (New member) Zia: Pause stream and just enjoy chat for the best experience
-1:07 | (New member) TWAIN: ONE MINUTE UOOOOOOOOOOOOOOOOOH
-0:47 | (New member) Peer: lets goooooooo
-0:41 | (New member) A A: 2 minute late stream time.
-0:38 | (New member) Tachi: Dad love
-0:32 | (New member) Margrave: 🤔
-0:09 | (New member) Rye Mountain: I and Beatani share the same oshi. LISTENER CHAN!
0:05 | (New member) Luginov: :_kita:
0:05 | (New member) Ark K.: :_oha::_dayo:
0:05 | (New member) Rye Mountain: It's starting!
0:11 | (New member) Peer: :_kita:
0:11 | (New member) Tachi: :_kita:
0:15 | (New member) TWAIN: :_kita:
0:15 | (New member) Megiddo: :_kita:
0:16 | (New member) Tachi: Oh no
0:19 | (New member) Zhnigo: OGADAYO :_sprdo:
0:19 | (New member) Suukotto Funsha: :_kita:
0:25 | (New member) TWAIN: uh oh
0:28 | (New member) TWAIN: youtube-kun
