-51:06 | (New member) Steven Frati: Roundtable of foolish dads assembled.
-49:32 | Voltage: im a wuss so i dont like scary games
-45:04 | (New member) BasedBug: What kind of bear even plays scary games at 5 in the morning?
-41:36 | (New member) Tachi: 🐻‍❄🍀
-36:02 | (New member) Steven Frati: Sometimes waking up is the biggest horror someone can experience.
-25:56 | (New member) Ekusupuroshon: 17 years ago... wow
-18:10 | stuffed idiot: 🐻‍❄🍀 time for a non-scary baby game
-13:18 | (New member) Mechanized Doge: big Oni benis :DDDDDDD
-12:52 | (New member) Peer: :_sprdo:🍀
-12:11 | (New member) Tachi: :_sprdo:🍀
-11:52 | (New member) Margrave: :_sprdo:🍀
-10:50 | (New member) XeniVari: 待機
-10:37 | (New member) TWAIN: :_sprdo:🍀
-8:48 | (New member) ThatVidyaGuy: :_sprdo:🍀
-8:04 | Sheep: we gonna hear beatani's sleepy voice
-6:15 | (New member) Rye Mountain: :_sprdo:🍀
-5:23 | (New member) Ekusupuroshon: :_sprdo:🍀
-4:46 | (New member) hohoemikuma: :_sprdo: 🍀
-4:37 | (New member) Chloro [クロロ]: :_sprdo:🍀
-4:33 | (New member) gyroninja: 待機
-4:11 | (New member) Mew: :_sprdo::_sprdo:
-4:07 | (New member) david johnston: :_sprdo:🍀
-4:02 | (New member) Megiddo: 5 am bear!
-3:44 | (New member) Mew: Scary bea
-2:59 | klevly: hello
-2:28 | Voltage: wil bea protect us?
-2:22 | (New member) Shippo: soon :_sprdo:🍀
-2:15 | Voltage: 🐻‍❄️🍀👏👏👏
-2:11 | (New member) Shippo: did Bea play Ao Oni before?
-2:09 | (New member) max r: 5am bear
-1:59 | (New member) loveletter: upbear
-1:30 | (New member) Gabriel K: :_oha::_dayo:
-1:20 | (New member) gyroninja: Shippo it says in the title that it is her first play
-1:13 | (New member) gyroninja: through
-0:51 | (New member) Nanashi: :_sprdo::_oha::_dayo:
-0:45 | (New member) Simón: :_yah::_sprdo:
-0:35 | Voltage: bear bear bear bear
-0:21 | Ark K.: ohadayoo
-0:11 | (New member) Moeniki: 待機:_dayo::_sprdo:
-0:08 | (New member) gyroninja: Sleepy:_sprdo:
-0:05 | Ark K.: finally i can catch the stream live
0:02 | (New member) Steven Frati: Kuma overselling her ability to wake up on time!
0:26 | (New member) ThatVidyaGuy: Not today! She's up.
0:31 | (New member) クラガリ葉月: :_oha::_dayo::_sprdo:
0:32 | Voltage: she is awake how dare you question her ablitities
0:35 | (New member) hohoemikuma: :_kita: 
0:37 | (New member) PT's Sleepy Corner: :_oha::_dayo:
0:47 | (New member) Steven Frati: :_kita::_kita::_kita:
0:49 | (New member) The Flesh Is Weak: slibby:_sprdo:
0:51 | (New member) Raziel: :_nukutea:
0:53 | (New member) Lagalith: :_kita:
0:55 | (New member) Tachi: :_kita:
0:57 | (New member) skrong: :_sprdo: basedd bea :DDD
0:58 | (New member) Theblekedet: bear squeals incoming!
1:00 | (New member) Hanabi: :_oha::_dayo:
1:02 | (New member) max r: :_kita::_kita::_kita:
1:03 | (New member) Shippo: gyroninja thanks, I didn't read the kanji, need to do my reps
1:05 | Voltage: let’s gooooo!!
1:06 | (New member) Lockiel: It automatically went up she's sleeping. :_sprdo::_sprdo:
1:07 | (New member) Shippo: :_kita:
1:09 | (New member) Sol Codguy: :_nukutea:
1:13 | (New member) Tianfang's Adventures: ha ha time for bear
1:14 | (New member) Tachi: :_kita::_kita:
1:15 | Kaiser Kebab: Damn it looks so green in here
1:23 | BakedBanana: oh
1:28 | (New member) Lagalith: Buy bearcoin
1:35 | (New member) Shippo: :_kita:
1:46 | (New member) Steven Frati: Dads keeping XP Hill green.
1:47 | Voltage: refresh your tabs 
1:51 | (New member) LassesAffar: :_kita:
1:58 | Kaiser Kebab: Good job!
2:09 | (New member) Fake Name: Good morning Bea
2:20 | (New member) Gabriel K: :_oha::_dayo::_oha::_dayo:
2:41 | (New member) Raziel: sleepy kuma
2:52 | (New member) Antonio Badilla: :_oha::_dayo:
2:52 | (New member) The Flesh Is Weak: :_yah:
3:07 | (New member) Margrave: :_oha::_dayo::_yah::_sprdo:
3:08 | (New member) Megiddo: Ohadayo~
3:10 | (New member) Ludd: :_oha::_dayo::_sprdo::_sprdo:
3:12 | (New member) TWAIN: :_kita::_oha::_dayo:
3:14 | (New member) Tachi: :_oha::_dayo::_yah:
3:16 | (New member) Peer: :_oha::_dayo:
3:17 | (New member) LassesAffar: :_sprdo:
3:17 | (New member) Kyle: :_kita:
3:19 | Voltage: WOWOWOWW
3:19 | (New member) Shippo: :_kita::_oha::_dayo:
3:19 | (New member) Tachi: :_yah::_oha::_kita:
3:20 | (New member) The Flesh Is Weak: :_oha::_dayo:
3:20 | (New member) Stray Wolf: Ohadayo~
3:20 | (New member) Takahama Nuuta: :_kita:
3:23 | (New member) Rye Mountain: :_oha::_dayo:
3:25 | (New member) loveletter: :_kita:
3:28 | (New member) XeniVari: おはだよ！
3:28 | Arcus crundelic: ohadayo
3:30 | (New member) クラガリ葉月: :_oha::_dayo:□:_bea:
3:30 | (New member) Mew: :_oha::_dayo:
3:31 | (New member) Stray Wolf: :_sprdo::_yah::_yah:
3:31 | (New member) LassesAffar: :_yah::_sprdo::_yah:
3:33 | (New member) BasedBug: OHADAYO, good morning!
3:35 | stuffed idiot: 🐻‍❄ Buy the merch dads
3:38 | (New member) Kofi: :_oha::_dayo:
3:38 | (New member) Moeniki: :_oha::_dayo::_sprdo:
3:39 | (New member) ThatVidyaGuy: :_oha::_dayo:
3:39 | (New member) Hanabi: :_oha::_dayo::_kita:
3:39 | (New member) Chloro [クロロ]: :_oha::_dayo:
3:39 | Voltage: ohadayo bear!!!
3:40 | A A: THUMP.
3:42 | (New member) Ludd: :_oha::_dayo::_nukutea:
3:43 | (New member) Megiddo: Ohadayo sleepy bear!
3:44 | (New member) The Flesh Is Weak: :_yah::_sprdo:
3:44 | Andrew Ryan: おはだよ
3:46 | (New member) Nanashi: :_sprdo::_oha::_dayo:
3:48 | (New member) skrong: bea's chair noises...
3:49 | (New member) david johnston: :_oha::_dayo:
3:52 | (New member) BasedBug: Congratulations for waking up so early
3:53 | (New member) Lagalith: :_oha::_dayo:
3:55 | (New member) Mew: Next month stuffed idiot 
3:57 | (New member) hohoemikuma: :_oha: :_dayo: :_sprdo:
3:57 | (New member) Simón: :_oha::_dayo:
4:01 | (New member) The Flesh Is Weak: sleeby:_sprdo:
4:02 | (New member) Shippo: BASED KUMA SONG
4:02 | (New member) max r: :_oha::_dayo:
4:02 | (New member) gyroninja: :_oha::_dayo:
4:03 | stuffed idiot: おはだよ！
4:05 | (New member) BasedBug: OHADAYO!
4:05 | Arcus crundelic: aaaaaaaaaaa
4:06 | (New member) Stray Wolf: :_kita::_kita:
4:06 | (New member) Megiddo: cute~
4:08 | (New member) Ekigo: Ohadayo!
4:08 | (New member) Shippo: □
4:09 | (New member) Peer: :_sprdo:
4:09 | (New member) Rye Mountain: :_oha::_dayo:
4:09 | (New member) Tachi: Ohadayo!
4:10 | (New member) ThatVidyaGuy: Good morning bear.
4:11 | (New member) Kyle: :_oha::_dayo:
4:11 | (New member) Mew: :_oha::_dayo:
4:12 | (New member) Takahama Nuuta: :_oha::_dayo:□:_bea:
4:12 | Kaiser Kebab: Ohadayo!
4:12 | (New member) Raziel: :_sprdo:
4:13 | (New member) TWAIN: 🎶:_sprdo:
4:13 | (New member) Kofi: morning
4:13 | (New member) Margrave: Hello.
4:14 | (New member) Steven Frati: :_oha::_dayo:
4:14 | (New member) Peer: :_oha::_dayo:
4:15 | (New member) Antonio Badilla: :_oha::_dayo:
4:15 | (New member) Sjamsjam: Welcome to For My Family!
4:17 | (New member) Sol Codguy: :_oha::_dayo:
4:17 | (New member) Tianfang's Adventures: Good morning 
4:18 | (New member) Fake Name: Have you had your nukumoricoffee
4:19 | (New member) LassesAffar: ohadayo!
4:21 | Ark K.: good morning bea
4:23 | Arcus crundelic: ohadayo good mornign
4:23 | Kaiser Kebab: Good night!
4:24 | klevly: GOOD MORNING
4:26 | Voltage: OHADAYO BEARRRRRRRRR
4:26 | (New member) Shippo: :_nukutea::_nukutea::_nukutea::_nukutea::_nukutea:
4:34 | Sheep: morning bea
4:37 | (New member) The Flesh Is Weak: Kumagay:_sprdo:
4:38 | Karren Taleb: MORNIN
4:40 | Voltage: sleeep bearrrrr
4:41 | (New member) max r: :_nukutea::_nukutea::_nukutea:
